DateTime,Discharge Rate,Remaining Capacity,Available MBytes,Bytes Total/sec,Processor Time
12/28/2022 14:26:10,7608,53390,5616,2920.393948,6.214480114
12/28/2022 14:26:11,7608,53390,5616,17157.81015,4.424006544
12/28/2022 14:26:12,7608,53390,5627,21004.05862,3.229197914
12/28/2022 14:26:13,7608,53390,5627,15091.7692,0.544254366
12/28/2022 14:26:14,7608,53390,5630,2916.343046,2.001873847
12/28/2022 14:26:15,7608,53390,5630,2083.096258,1.933284282
12/28/2022 14:26:16,7608,53390,5643,2080.826185,4.889410068
12/28/2022 14:26:17,7932,53370,5636,1869.875504,5.82504694
12/28/2022 14:26:18,7932,53370,5656,24725.54858,9.662051729
12/28/2022 14:26:19,7932,53370,5729,10700.15451,15.65591878
12/28/2022 14:26:20,7932,53370,5729,1889.074828,3.156818612
12/28/2022 14:26:21,7932,53370,5711,1966.466064,3.605719489
12/28/2022 14:26:22,7932,53370,5708,10556.71407,4.491025874
12/28/2022 14:26:23,7932,53370,5713,2562.469903,3.332099006
12/28/2022 14:26:24,7932,53370,5683,181958.2204,10.51324904
12/28/2022 14:26:25,7932,53370,5679,1827.772618,3.873336463
12/28/2022 14:26:26,7932,53370,5707,2034.560915,6.188328207
12/28/2022 14:26:27,7932,53370,5703,1925.064611,4.194242897
12/28/2022 14:26:28,7932,53370,5699,24522.88786,3.908456455
12/28/2022 14:26:29,7932,53370,5697,3706.889016,7.111066046
12/28/2022 14:26:30,7932,53370,5701,24934.26129,5.709302832
12/28/2022 14:26:31,7932,53370,5706,3458.949166,1.236595968
12/28/2022 14:26:32,7932,53370,5715,26240.9004,1.95578428
12/28/2022 14:26:33,7932,53370,5714,2409.016364,2.104984588
12/28/2022 14:26:34,7932,53370,5714,1801.40149,2.120917024
12/28/2022 14:26:35,8326,53330,5723,4609.277156,2.244889871
12/28/2022 14:26:36,8326,53330,5717,1802.63455,2.72012912
12/28/2022 14:26:37,8326,53330,5721,4481.44487,0.415934311
12/28/2022 14:26:38,8326,53330,5721,2109.114755,2.497919397
12/28/2022 14:26:39,8326,53330,5721,1805.428019,5.301322055
12/28/2022 14:26:40,8326,53330,5720,2091.047911,4.153829175
12/28/2022 14:26:41,8326,53330,5723,1918.399534,3.95493695
12/28/2022 14:26:42,8326,53330,5720,2298.428375,0.852549872
12/28/2022 14:26:43,8326,53330,5724,1808.22253,2.744423437
12/28/2022 14:26:44,8326,53330,5727,1976.576211,3.038170477
12/28/2022 14:26:45,8326,53330,5696,4659.656205,7.54250037
12/28/2022 14:26:46,8326,53330,5691,3449.174974,1.698667
12/28/2022 14:26:47,8326,53330,5696,1798.764608,2.562618274
12/28/2022 14:26:48,8326,53330,5691,2042.340662,2.181690358
12/28/2022 14:26:49,8326,53330,5686,4040.115951,3.895524741
12/28/2022 14:26:50,6762,53300,5695,1932.104088,6.932716794
12/28/2022 14:26:51,6762,53300,5682,8364.256357,9.798548715
12/28/2022 14:26:52,6762,53300,5683,3449.149834,4.133590331
12/28/2022 14:26:53,6762,53300,5684,2405.89353,3.528393194
12/28/2022 14:26:54,6762,53300,5683,1803.698664,3.221719216
12/28/2022 14:26:55,6762,53300,5688,1491.915479,2.436075495
12/28/2022 14:26:56,6762,53300,5686,1959.791739,2.143753753
12/28/2022 14:26:57,6762,53300,5700,1804.778512,3.11355664
12/28/2022 14:26:58,6762,53300,5704,3433.67081,8.599428847
12/28/2022 14:26:59,6762,53300,5712,2572.629379,4.74905872
12/28/2022 14:27:00,6762,53300,5721,3051.779361,5.567473036
12/28/2022 14:27:01,6762,53300,5714,2100.332923,4.023283344
12/28/2022 14:27:02,6762,53300,5715,2688.49226,0.011473508
12/28/2022 14:27:03,6762,53300,5731,2467.682046,1.323442454
12/28/2022 14:27:04,6762,53300,5733,2433.557182,3.344157621
12/28/2022 14:27:05,6762,53300,5738,3285.837112,4.622089829
12/28/2022 14:27:06,6762,53300,5733,4895.234274,8.578187921
12/28/2022 14:27:07,6762,53300,5717,5413.008294,4.55089229
